element,x,y,z
F,-1.3991,-1.8603,1.2894
F,8.321,0.3292,0.2898
O,-3.3759,-1.9907,-1.4332
O,-5.2256,-3.1122,0.2125
N,-4.1337,-2.394,0.718
N,4.8061,1.0722,0.7757
N,5.0302,-0.7692,-0.7624
C,-1.3797,-0.1766,-0.5154
C,-2.2382,0.343,0.625
C,-2.1455,-1.1417,0.357
C,0.1034,-0.0994,-0.3929
C,-3.4699,1.1044,0.299
C,-3.2758,-1.8803,-0.2169
C,0.7185,1.1247,-0.1303
C,0.8763,-1.251,-0.5407
C,-4.5649,1.0624,1.1621
C,-3.5327,1.8619,-0.8705
C,2.1067,1.1971,-0.0156
C,2.2646,-1.1786,-0.4259
C,-5.7224,1.7779,0.8558
C,-4.6901,2.5776,-1.1768
C,2.8798,0.0454,-0.1633
C,-5.7851,2.5354,-0.3135
C,4.3196,0.1204,-0.0433
C,6.1518,1.1139,0.864
C,6.369,-0.671,-0.6269
C,6.9918,0.2596,0.1794
H,-1.743,-0.0734,-1.5344
H,-1.7164,0.6763,1.5209
H,0.1287,2.0309,-0.0197
H,0.4103,-2.2106,-0.7489
H,-4.5263,0.4772,2.0772
H,-2.6897,1.9374,-1.5509
H,-4.0134,-2.3773,1.7242
H,2.557,2.1675,0.1788
H,2.8386,-2.0953,-0.5377
H,-6.5747,1.7456,1.5282
H,-4.7371,3.1725,-2.0843
H,-6.6858,3.0937,-0.5514
H,-5.9063,-2.418,0.2212
H,6.5499,1.8787,1.5221
H,6.9471,-1.3849,-1.2037
